,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,total_ex,mean,normalized_mean,normalized_theta
128,A1E77HZO63E334,8,seqNoFeedback,0,0.3,9,1,B,3,7,,,,2.83,yes,10,0.3,0.7,0.7
129,A1E77HZO63E334,8,seqNoFeedback,1,0.3,9,1,B,3,7,0.50,0.2,0.0,2.83,yes,10,0.3,0.7,0.7
130,A1E77HZO63E334,9,seqFeedback,0,0.7,1,9,A,7,3,0.40,,,2.83,yes,10,0.7,0.7,0.7
131,A1E77HZO63E334,9,seqFeedback,1,0.7,1,9,A,9,1,0.57,0.13,0.0,2.83,yes,10,0.9,0.9,0.7
132,A1E77HZO63E334,10,nonSeqFull,0,0.7,1,9,A,10,0,0.55,0.1499999999999999,0.0,2.83,yes,10,1.0,1.0,0.7
133,A1E77HZO63E334,11,nonSeqPartial,0,0.7,9,1,B,7,3,0.80,0.10000000000000009,0.0,2.83,yes,10,0.7,0.30000000000000004,0.3
134,A1E77HZO63E334,12,nonSeqFull,0,0.3,1,9,A,3,0,0.31,0.010000000000000009,0.67,2.83,yes,3,1.0,1.0,0.3
135,A1E77HZO63E334,13,nonSeqFull,0,0.3,9,1,B,0,12,0.41,0.10999999999999999,0.0,2.83,yes,12,0.0,1.0,0.7
136,A1E77HZO63E334,14,seqNoFeedback,0,0.7,1,9,A,7,3,,,,2.83,yes,10,0.7,0.7,0.7
137,A1E77HZO63E334,14,seqNoFeedback,1,0.7,1,9,A,7,3,0.50,0.19999999999999996,0.0,2.83,yes,10,0.7,0.7,0.7
138,A1E77HZO63E334,15,seqFeedback,0,0.7,9,1,B,7,3,0.80,,,2.83,yes,10,0.7,0.30000000000000004,0.3
139,A1E77HZO63E334,15,seqFeedback,1,0.7,9,1,B,2,2,0.75,0.050000000000000044,0.56,2.83,yes,4,0.5,0.5,0.3
140,A1G187YBG0DVMQ,0,nonSeqPartial,0,0.3,9,1,B,3,3,0.75,0.45,0.0,2.6,yes,6,0.5,0.5,0.7
141,A1G187YBG0DVMQ,1,seqNoFeedback,0,0.3,1,9,A,3,7,,,,2.6,yes,10,0.3,0.3,0.3
142,A1G187YBG0DVMQ,1,seqNoFeedback,1,0.3,1,9,A,3,7,0.23,0.06999999999999998,0.5,2.6,yes,10,0.3,0.3,0.3
143,A1G187YBG0DVMQ,2,seqFeedback,0,0.3,1,9,A,3,7,0.20,,,2.6,yes,10,0.3,0.3,0.3
144,A1G187YBG0DVMQ,2,seqFeedback,1,0.3,1,9,A,2,8,0.20,0.09999999999999998,0.0,2.6,yes,10,0.2,0.2,0.3
145,A1G187YBG0DVMQ,3,nonSeqFull,0,0.7,9,1,B,6,4,0.75,0.050000000000000044,0.6,2.6,yes,10,0.6,0.4,0.3
146,A1G187YBG0DVMQ,4,seqNoFeedback,0,0.7,1,9,A,7,3,,,,2.6,yes,10,0.7,0.7,0.7
147,A1G187YBG0DVMQ,4,seqNoFeedback,1,0.7,1,9,A,6,4,0.47,0.22999999999999998,0.0,2.6,yes,10,0.6,0.6,0.7
148,A1G187YBG0DVMQ,5,nonSeqFull,0,0.3,1,9,A,2,8,0.15,0.15,0.0,2.6,yes,10,0.2,0.2,0.3
149,A1G187YBG0DVMQ,6,seqFeedback,0,0.7,9,1,B,6,4,0.75,,,2.6,yes,10,0.6,0.4,0.3
150,A1G187YBG0DVMQ,6,seqFeedback,1,0.7,9,1,B,7,3,0.73,0.030000000000000027,0.5,2.6,yes,10,0.7,0.30000000000000004,0.3
151,A1G187YBG0DVMQ,7,seqNoFeedback,0,0.7,9,1,B,9,1,,,,2.6,yes,10,0.9,0.09999999999999998,0.3
152,A1G187YBG0DVMQ,7,seqNoFeedback,1,0.7,9,1,B,7,3,0.83,0.13,0.0,2.6,yes,10,0.7,0.30000000000000004,0.3
153,A1G187YBG0DVMQ,8,nonSeqPartial,0,0.3,1,9,A,5,5,0.30,0.0,0.6,2.6,yes,10,0.5,0.5,0.3
154,A1G187YBG0DVMQ,9,seqNoFeedback,0,0.3,9,1,B,4,6,,,,2.6,yes,10,0.4,0.6,0.7
155,A1G187YBG0DVMQ,9,seqNoFeedback,1,0.3,9,1,B,1,4,0.56,0.26000000000000006,0.0,2.6,yes,5,0.2,0.8,0.7
156,A1G187YBG0DVMQ,10,seqFeedback,0,0.3,9,1,B,3,7,0.60,,,2.6,yes,10,0.3,0.7,0.7
157,A1G187YBG0DVMQ,10,seqFeedback,1,0.3,9,1,B,12,4,0.67,0.37000000000000005,0.0,2.6,yes,16,0.75,0.25,0.7
158,A1G187YBG0DVMQ,11,nonSeqPartial,0,0.7,1,9,A,4,2,0.31,0.38999999999999996,0.0,2.6,yes,6,0.6666666666666666,0.6666666666666666,0.7
159,A1G187YBG0DVMQ,12,nonSeqFull,0,0.7,1,9,A,7,3,0.40,0.29999999999999993,0.0,2.6,yes,10,0.7,0.7,0.7
