subject,run,block_idx,ex_idx,first_movement,start,onset,problem,order,example,rating
2,6,2,0,"[5, 1]","[5, 0]",176.24999999999997,39,"['D', 'C', 'B', 'A']","[3, 3]",2.0
2,6,2,1,"[5, 1]","[5, 0]",191.04999999999995,39,"['D', 'C', 'B', 'A']","[4, 4]",2.0
2,6,2,2,"[5, 1]","[5, 0]",204.59999999999997,39,"['D', 'C', 'B', 'A']","[5, 5]",2.0
2,6,3,0,"[5, 4]","[5, 5]",253.49999999999997,19,"['D', 'A', 'B', 'C']","[5, 4]",1.0
2,6,3,1,"[5, 4]","[5, 5]",268.45,19,"['D', 'A', 'B', 'C']","[5, 5]",2.0
2,6,3,2,"[5, 4]","[5, 5]",284.59999999999997,19,"['D', 'A', 'B', 'C']","[4, 3]",2.0
2,7,0,0,"[5, 1]","[5, 0]",30.0,18,"['B', 'D', 'C', 'A']","[5, 2]",2.0
2,7,0,1,"[5, 1]","[5, 0]",44.2,18,"['B', 'D', 'C', 'A']","[2, 2]",2.0
2,7,0,2,"[5, 1]","[5, 0]",57.699999999999996,18,"['B', 'D', 'C', 'A']","[3, 3]",2.0
2,7,1,0,"[1, 0]","[0, 0]",104.19999999999999,4,"['D', 'A', 'C', 'B']","[4, 0]",1.0
2,7,1,1,"[1, 0]","[0, 0]",119.39999999999999,4,"['D', 'A', 'C', 'B']","[4, 2]",2.0
2,7,1,2,"[1, 0]","[0, 0]",133.75,4,"['D', 'A', 'C', 'B']","[4, 5]",2.0
2,7,2,0,"[5, 4]","[5, 5]",177.9,12,"['A', 'B', 'C', 'D']","[5, 4]",2.0
2,7,2,1,"[5, 4]","[5, 5]",191.3,12,"['A', 'B', 'C', 'D']","[5, 1]",4.0
2,7,2,2,"[5, 4]","[5, 5]",207.85000000000002,12,"['A', 'B', 'C', 'D']","[3, 2]",4.0
2,7,3,0,"[0, 4]","[0, 5]",254.85000000000002,22,"['C', 'D', 'A', 'B']","[4, 3]",1.0
2,7,3,1,"[0, 4]","[0, 5]",270.6,22,"['C', 'D', 'A', 'B']","[1, 3]",2.0
2,7,3,2,"[0, 4]","[0, 5]",284.90000000000003,22,"['C', 'D', 'A', 'B']","[1, 4]",4.0
2,8,0,0,"[5, 4]","[5, 5]",30.0,3,"['A', 'B', 'D', 'C']","[3, 2]",2.0
2,8,0,1,"[5, 4]","[5, 5]",43.75,3,"['A', 'B', 'D', 'C']","[3, 3]",3.0
2,8,0,2,"[5, 4]","[5, 5]",57.5,3,"['A', 'B', 'D', 'C']","[1, 0]",3.0
2,8,1,0,"[1, 0]","[0, 0]",103.4,5,"['D', 'B', 'A', 'C']","[0, 2]",2.0
2,8,1,1,"[1, 0]","[0, 0]",119.4,5,"['D', 'B', 'A', 'C']","[0, 3]",
2,8,1,2,"[1, 0]","[0, 0]",134.85000000000002,5,"['D', 'B', 'A', 'C']","[1, 3]",3.0
2,8,2,0,"[5, 1]","[5, 0]",183.85000000000002,24,"['D', 'C', 'A', 'B']","[2, 5]",
2,8,2,1,"[5, 1]","[5, 0]",198.70000000000002,24,"['D', 'C', 'A', 'B']","[3, 5]",2.0
2,8,2,2,"[5, 1]","[5, 0]",213.60000000000002,24,"['D', 'C', 'A', 'B']","[4, 3]",2.0
2,8,3,0,"[0, 5]","[0, 5]",255.10000000000002,1,"['C', 'D', 'A', 'B']","[5, 1]",2.0
2,8,3,1,"[0, 5]","[0, 5]",269.55,1,"['C', 'D', 'A', 'B']","[4, 1]",2.0
