,subject_id,student_idx,block_type,trial_num,theta,student_a,student_b,student_class,heads,tails,student_guess,error,bonus,total_bonus,understood,n_attention_passed,total_ex,mean,normalized_mean,normalized_theta
120,A173MXK429XAZQ,0,seqNoFeedback,1,0.7,1,9,A,7,3,0.50,0.19999999999999996,0.0,1.52,yes,3,10,0.7,0.7,0.7
121,A173MXK429XAZQ,1,nonSeqFull,0,0.3,9,1,B,1,7,0.56,0.26000000000000006,0.0,1.52,yes,3,8,0.125,0.875,0.7
122,A173MXK429XAZQ,2,seqNoFeedback,0,0.7,9,1,B,7,3,,,,1.52,yes,3,10,0.7,0.30000000000000004,0.3
123,A173MXK429XAZQ,2,seqNoFeedback,1,0.7,9,1,B,4,1,0.80,0.10000000000000009,0.0,1.52,yes,3,5,0.8,0.19999999999999996,0.3
124,A173MXK429XAZQ,3,nonSeqPartial,0,0.7,1,9,A,7,3,0.40,0.29999999999999993,0.0,1.52,yes,3,10,0.7,0.7,0.7
125,A173MXK429XAZQ,4,nonSeqPartial,0,0.3,9,1,B,3,7,0.60,0.3,0.0,1.52,yes,3,10,0.3,0.7,0.7
126,A173MXK429XAZQ,5,seqNoFeedback,0,0.3,9,1,B,3,7,,,,1.52,yes,3,10,0.3,0.7,0.7
127,A173MXK429XAZQ,5,seqNoFeedback,1,0.3,9,1,B,3,7,0.50,0.2,0.0,1.52,yes,3,10,0.3,0.7,0.7
128,A173MXK429XAZQ,6,seqFeedback,0,0.3,1,9,A,3,7,0.20,,,1.52,yes,3,10,0.3,0.3,0.3
129,A173MXK429XAZQ,6,seqFeedback,1,0.3,1,9,A,3,6,0.24,0.06,0.51,1.52,yes,3,9,0.3333333333333333,0.3333333333333333,0.3
130,A173MXK429XAZQ,7,nonSeqFull,0,0.3,1,9,A,3,6,0.21,0.09,0.0,1.52,yes,3,9,0.3333333333333333,0.3333333333333333,0.3
131,A173MXK429XAZQ,8,seqFeedback,0,0.7,1,9,A,7,3,0.40,,,1.52,yes,3,10,0.7,0.7,0.7
132,A173MXK429XAZQ,8,seqFeedback,1,0.7,1,9,A,7,2,0.52,0.17999999999999994,0.0,1.52,yes,3,9,0.7777777777777778,0.7777777777777778,0.7
133,A173MXK429XAZQ,9,nonSeqFull,0,0.7,1,9,A,8,2,0.45,0.24999999999999994,0.0,1.52,yes,3,10,0.8,0.8,0.7
134,A173MXK429XAZQ,10,nonSeqPartial,0,0.3,1,9,A,2,7,0.16,0.13999999999999999,0.0,1.52,yes,3,9,0.2222222222222222,0.2222222222222222,0.3
135,A173MXK429XAZQ,11,nonSeqFull,0,0.7,9,1,B,6,3,0.79,0.09000000000000008,0.0,1.52,yes,3,9,0.6666666666666666,0.33333333333333337,0.3
136,A173MXK429XAZQ,12,seqNoFeedback,0,0.3,1,9,A,3,7,,,,1.52,yes,3,10,0.3,0.3,0.3
137,A173MXK429XAZQ,12,seqNoFeedback,1,0.3,1,9,A,3,7,0.23,0.06999999999999998,0.5,1.52,yes,3,10,0.3,0.3,0.3
138,A173MXK429XAZQ,13,seqFeedback,0,0.3,9,1,B,3,7,0.60,,,1.52,yes,3,10,0.3,0.7,0.7
139,A173MXK429XAZQ,13,seqFeedback,1,0.3,9,1,B,2,8,0.47,0.16999999999999998,0.0,1.52,yes,3,10,0.2,0.8,0.7
140,A173MXK429XAZQ,14,nonSeqPartial,0,0.7,9,1,B,7,3,0.80,0.10000000000000009,0.0,1.52,yes,3,10,0.7,0.30000000000000004,0.3
141,A173MXK429XAZQ,15,seqFeedback,0,0.7,9,1,B,7,3,0.80,,,1.52,yes,3,10,0.7,0.30000000000000004,0.3
142,A173MXK429XAZQ,15,seqFeedback,1,0.7,9,1,B,6,3,0.76,0.06000000000000005,0.51,1.52,yes,3,9,0.6666666666666666,0.33333333333333337,0.3
143,A176PLYJ2VNRII,0,nonSeqFull,0,0.7,9,1,B,5,5,0.70,0.0,0.6,4.1,yes,3,10,0.5,0.5,0.3
144,A176PLYJ2VNRII,1,nonSeqPartial,0,0.7,9,1,B,7,3,0.80,0.10000000000000009,0.0,4.1,yes,3,10,0.7,0.30000000000000004,0.3
145,A176PLYJ2VNRII,2,nonSeqFull,0,0.7,1,9,A,20,0,0.70,0.0,0.5,4.1,yes,3,20,1.0,1.0,0.7
146,A176PLYJ2VNRII,3,nonSeqPartial,0,0.7,1,9,A,14,6,0.50,0.19999999999999996,0.0,4.1,yes,3,20,0.7,0.7,0.7
